movie_title,release_date,month_released,rated,genre,runtime_minutes,belongs_to_collection,tagline,production_budget_usd,domestic_gross_usd,worldwide_gross_usd,imdb_score,dir_acted,dir_animation_dept,dir_art_dept,dir_art_dir,dir_assistant_dir,dir_camera_dept,dir_casting_dept,dir_casting_dir,dir_cinematographer,dir_composer,dir_costume_designer,dir_editor,dir_editorial_dept,dir_location_management,dir_makeup_dept,dir_music_artist,dir_music_dept,dir_producer,dir_production_designer,dir_production_manager,dir_script_dept,dir_sound_dept,dir_soundtrack,dir_special_effects,dir_stunts,dir_visual_effects,dir_writer
Friday the 13th Part 2,1981-05-01,4,R,Horror,87.0,1,The body count continues...,1250000,21722776,21722776,6.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
For Your Eyes Only,1981-06-23,6,PG,Action,127.0,1,"No one comes close to James Bond, 007.",28000000,54800000,195300000,6.7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halloween II,1981-10-30,10,R,Horror,92.0,1,The nightmare isn't over!,2500000,25533818,25533818,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Taps,1981-12-20,12,PG,Drama,126.0,0,"This school is our home, we think it's worth defending.",14000000,35856053,35856053,6.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Reds,1981-12-25,12,PG,Biography,195.0,0,Not since Gone With The Wind has there been a great romantic epic like it!,33500000,50000000,50000130,7.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Chariots of Fire,1981-05-15,9,PG,Biography,125.0,0,"This is the story of two men who run, not to run, but to prove something to the world. They will sacrifice anything to achieve their goals... except their honor.",5500000,61558162,61910507,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
History of the World: Part I,1981-06-12,6,R,Comedy,92.0,0,"Ten million years in the making. The truth, the whole truth, and everything, but the truth!",11000000,31672000,31672000,6.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
The Howling,1981-04-03,4,R,Horror,91.0,1,Imagine your worst fear a reality,1000000,17985000,17985130,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dragonslayer,1981-06-26,6,PG,Action,108.0,0,"In the Dark Ages, Magic was a weapon. Love was a mystery. Adventure was everywhere... And Dragons were real.",18000000,6000000,6000000,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mommie Dearest,1981-09-18,9,R,Biography,129.0,0,The meanest mother of them all,5000000,19032000,25032000,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Postman Always Rings Twice,1981-03-20,3,R,Crime,122.0,0,You Will Feel The Heat,12000000,12200000,44200000,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Gallipoli,1981-08-13,8,PG,Adventure,110.0,0,"From a place you've never heard of, comes a story you'll never forget.",3000000,5732587,5732587,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Nighthawks,1981-03-17,4,R,Action,99.0,0,A terrorist holds New York in a grip of fear - and only Stallone can take him on.,5000000,14600000,19600000,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Under the Rainbow,1981-07-31,7,PG,Comedy,98.0,0,Who knew so many little people would throw such a huge party?,20000000,18826490,18826490,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graduation Day,1981-05-01,5,R,Horror,96.0,0,Some kids are dying to graduate...,250000,23894000,23894000,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Modern Problems,1981-12-25,12,PG,Comedy,93.0,0,,8000000,24474312,24474312,5.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Legend of the Lone Ranger,1981-08-20,5,PG,Action,98.0,0,"The untold story of the man behind the mask, and the legend behind the man.",18000000,13400000,13400000,5.1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphinx,1981-02-11,2,PG,Adventure,118.0,0,Someone is hunting tourists out of season.,10000000,2000000,11400000,5.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Heartbeeps,1981-12-18,12,PG,Comedy,78.0,0,Meet a modern nuclear family unlike any other.,10000000,6000000,6000000,4.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Pursuit of D.B. Cooper,1981-11-13,11,PG,Adventure,100.0,0,Who says you can't take it with you?,12000000,2104164,2104164,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fast Times at Ridgemont High,1982-08-13,8,R,Comedy,90.0,0,"Fast Cars, Fast Girls, Fast Carrots...Fast Carrots?",4500000,27092880,27093116,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Blade Runner,1982-06-25,6,R,Action,117.0,1,Man has made his match... now it's his problem.,28000000,32656328,39538663,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Conan the Barbarian,1982-04-02,5,R,Action,129.0,1,Thief. Warrior. Gladiator. King.,20000000,38264085,79114085,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
E.T. the Extra-Terrestrial,1982-04-03,6,PG,Family,115.0,0,He is afraid. He is alone. He is three million light years from home.,10500000,439251124,797103542,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
First Blood,1982-10-22,10,R,Action,93.0,1,This time he's fighting for his life.,14000000,47212904,125212904,7.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
