month_released,rated,genre,runtime_minutes,belongs_to_collection,production_budget_usd,domestic_gross_usd,worldwide_gross_usd,imdb_score,dir_acted,dir_animation_dept,dir_art_dept,dir_art_dir,dir_assistant_dir,dir_camera_dept,dir_casting_dept,dir_casting_dir,dir_cinematographer,dir_composer,dir_costume_designer,dir_editor,dir_editorial_dept,dir_location_management,dir_makeup_dept,dir_music_artist,dir_music_dept,dir_producer,dir_production_designer,dir_production_manager,dir_script_dept,dir_sound_dept,dir_soundtrack,dir_special_effects,dir_stunts,dir_visual_effects,dir_writer,non_dom_gross_usd,title_length,worldwide_roi,domestic_roi,non_dom_roi,success_level_ww
8,R,Crime,92.0,0,11000000,21171695,21171695,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12,0.9246995454545455,0.9246995454545455,-1.0,1
5,R,Action,90.0,0,7000000,5430822,5430822,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12,-0.2241682857142857,-0.2241682857142857,-1.0,0
7,R,Comedy,117.0,0,42000000,70052444,131052444,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,61000000,9,2.1202962857142857,0.6679153333333333,0.4523809523809524,2
2,PG-13,Adventure,106.0,0,40000000,44948240,44948240,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12,0.123706,0.123706,-1.0,1
2,PG-13,Comedy,99.0,0,40000000,14358033,14358033,6.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,27,-0.641049175,-0.641049175,-1.0,0
10,PG-13,Comedy,119.0,0,42000000,19487173,66787173,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47300000,4,0.5901707857142857,-0.5360196904761905,0.1261904761904762,1
12,G,Comedy,85.0,1,12000000,27379507,31724550,7.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4345043,26,1.6437125,1.2816255833333334,-0.6379130833333333,2
9,R,Crime,103.0,0,5000000,1050861,1050861,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13,-0.7898278,-0.7898278,-1.0,0
4,R,Drama,108.0,0,5000000,1526697,1526697,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,-0.6946606,-0.6946606,-1.0,0
12,R,Action,130.0,0,25000000,56505065,56505065,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.2602026,1.2602026,-1.0,2
